rank,path,target_url,locale,page_type,mbti_type,cohort_group,action_bucket,rerun_lane,rerun_allowed,blocked_reason,evidence_quality,priority_score,query_rows_captured,impressions,clicks,ctr,average_position,qa_decision,recommended_next_task
"85","/zh/personality/intj-a-vs-intj-t","https://fermatmind.com/zh/personality/intj-a-vs-intj-t","zh","comparison","INTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"86","/zh/personality/intp-t","https://fermatmind.com/zh/personality/intp-t","zh","variant","INTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"87","/zh/personality/isfj-a","https://fermatmind.com/zh/personality/isfj-a","zh","variant","ISFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"88","/zh/personality/isfj-a-vs-isfj-t","https://fermatmind.com/zh/personality/isfj-a-vs-isfj-t","zh","comparison","ISFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"89","/zh/personality/isfj-t","https://fermatmind.com/zh/personality/isfj-t","zh","variant","ISFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"90","/zh/personality/isfp-a","https://fermatmind.com/zh/personality/isfp-a","zh","variant","ISFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"91","/zh/personality/isfp-a-vs-isfp-t","https://fermatmind.com/zh/personality/isfp-a-vs-isfp-t","zh","comparison","ISFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"92","/zh/personality/isfp-t","https://fermatmind.com/zh/personality/isfp-t","zh","variant","ISFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"93","/zh/personality/istj-a-vs-istj-t","https://fermatmind.com/zh/personality/istj-a-vs-istj-t","zh","comparison","ISTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"94","/zh/personality/istj-t","https://fermatmind.com/zh/personality/istj-t","zh","variant","ISTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"95","/zh/personality/istp-a-vs-istp-t","https://fermatmind.com/zh/personality/istp-a-vs-istp-t","zh","comparison","ISTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"96","/zh/personality/istp-t","https://fermatmind.com/zh/personality/istp-t","zh","variant","ISTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
