source_article_identity,source_locale,source_canonical,relation_type,target_surface,target_identity,target_locale,target_canonical,visible_anchor_intent,display_position,authority_source,query_relationship,publication_eligibility,target_eligibility,analytics_dependency,review_state,evidence,blocker
201,en,https://fermatmind.com/en/articles/mbti-growth-guide,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
202,en,https://fermatmind.com/en/articles/mbti-narrative-portrait,related_article,article,27,en,https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science,继续了解MBTI,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
202,en,https://fermatmind.com/en/articles/mbti-narrative-portrait,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
202,en,https://fermatmind.com/en/articles/mbti-narrative-portrait,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
34,en,https://fermatmind.com/en/articles/mbti-personality-test-science-vs-pseudoscience,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
34,en,https://fermatmind.com/en/articles/mbti-personality-test-science-vs-pseudoscience,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
34,en,https://fermatmind.com/en/articles/mbti-personality-test-science-vs-pseudoscience,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
39,en,https://fermatmind.com/en/articles/mbti-vs-holland-code-career-choice,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
39,en,https://fermatmind.com/en/articles/mbti-vs-holland-code-career-choice,take_assessment,assessment_landing,holland-career-interest-test-riasec,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,Start with the Holland Code/RIASEC Test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
39,en,https://fermatmind.com/en/articles/mbti-vs-holland-code-career-choice,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
71,en,https://fermatmind.com/en/articles/unwanted-major-adjustment-riasec-transfer-plan,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
71,en,https://fermatmind.com/en/articles/unwanted-major-adjustment-riasec-transfer-plan,take_assessment,assessment_landing,holland-career-interest-test-riasec,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,Take the Holland/RIASEC test and turn your result into verification questions,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
71,en,https://fermatmind.com/en/articles/unwanted-major-adjustment-riasec-transfer-plan,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
75,en,https://fermatmind.com/en/articles/unwanted-major-repeat-or-stay-riasec-decision-checklist,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
75,en,https://fermatmind.com/en/articles/unwanted-major-repeat-or-stay-riasec-decision-checklist,take_assessment,assessment_landing,holland-career-interest-test-riasec,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,Take the Holland/RIASEC test and add your interest pattern to the decision table,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
75,en,https://fermatmind.com/en/articles/unwanted-major-repeat-or-stay-riasec-decision-checklist,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
41,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
41,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,take_assessment,assessment_landing,holland-career-interest-test-riasec,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,Take the free RIASEC test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
41,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
25,en,https://fermatmind.com/en/articles/which-love-script-fits-you-best,related_article,article,27,en,https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science,继续了解MBTI,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
25,en,https://fermatmind.com/en/articles/which-love-script-fits-you-best,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
25,en,https://fermatmind.com/en/articles/which-love-script-fits-you-best,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
42,en,https://fermatmind.com/en/articles/why-mbti-and-holland-code-results-dont-match,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
42,en,https://fermatmind.com/en/articles/why-mbti-and-holland-code-results-dont-match,take_assessment,assessment_landing,holland-career-interest-test-riasec,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
42,en,https://fermatmind.com/en/articles/why-mbti-and-holland-code-results-dont-match,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,related_article,article,137,zh,https://fermatmind.com/zh/articles/big-five-30-day-observation-and-review-plan,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
11,zh,https://fermatmind.com/zh/articles/are-infj-men-rare-or-socially-silenced,related_article,article,12,zh,https://fermatmind.com/zh/articles/best-valentines-date-by-personality-and-relationship-science,继续了解MBTI,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
11,zh,https://fermatmind.com/zh/articles/are-infj-men-rare-or-socially-silenced,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
11,zh,https://fermatmind.com/zh/articles/are-infj-men-rare-or-socially-silenced,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
12,zh,https://fermatmind.com/zh/articles/best-valentines-date-by-personality-and-relationship-science,related_article,article,11,zh,https://fermatmind.com/zh/articles/are-infj-men-rare-or-socially-silenced,继续了解MBTI,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
12,zh,https://fermatmind.com/zh/articles/best-valentines-date-by-personality-and-relationship-science,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
12,zh,https://fermatmind.com/zh/articles/best-valentines-date-by-personality-and-relationship-science,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
137,zh,https://fermatmind.com/zh/articles/big-five-30-day-observation-and-review-plan,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
137,zh,https://fermatmind.com/zh/articles/big-five-30-day-observation-and-review-plan,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
137,zh,https://fermatmind.com/zh/articles/big-five-30-day-observation-and-review-plan,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
138,zh,https://fermatmind.com/zh/articles/big-five-30-facets-explained-with-model-caveats,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
138,zh,https://fermatmind.com/zh/articles/big-five-30-facets-explained-with-model-caveats,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
138,zh,https://fermatmind.com/zh/articles/big-five-30-facets-explained-with-model-caveats,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
139,zh,https://fermatmind.com/zh/articles/big-five-communication-needs-conversation-prompts,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
139,zh,https://fermatmind.com/zh/articles/big-five-communication-needs-conversation-prompts,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
139,zh,https://fermatmind.com/zh/articles/big-five-communication-needs-conversation-prompts,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
140,zh,https://fermatmind.com/zh/articles/big-five-conflict-patterns-observe-before-explaining,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
140,zh,https://fermatmind.com/zh/articles/big-five-conflict-patterns-observe-before-explaining,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
140,zh,https://fermatmind.com/zh/articles/big-five-conflict-patterns-observe-before-explaining,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
80,zh,https://fermatmind.com/zh/articles/big-five-conscientiousness-low-procrastination-task-plan,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
80,zh,https://fermatmind.com/zh/articles/big-five-conscientiousness-low-procrastination-task-plan,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,先做大五人格测试，再用本文清单观察拖延触发和执行系统,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
80,zh,https://fermatmind.com/zh/articles/big-five-conscientiousness-low-procrastination-task-plan,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
141,zh,https://fermatmind.com/zh/articles/big-five-couples-conversation-not-relationship-prediction,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
141,zh,https://fermatmind.com/zh/articles/big-five-couples-conversation-not-relationship-prediction,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
141,zh,https://fermatmind.com/zh/articles/big-five-couples-conversation-not-relationship-prediction,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
142,zh,https://fermatmind.com/zh/articles/big-five-cross-cultural-research-and-translation-limits,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
142,zh,https://fermatmind.com/zh/articles/big-five-cross-cultural-research-and-translation-limits,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
142,zh,https://fermatmind.com/zh/articles/big-five-cross-cultural-research-and-translation-limits,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
143,zh,https://fermatmind.com/zh/articles/big-five-decision-journal-observe-style-not-quality,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
143,zh,https://fermatmind.com/zh/articles/big-five-decision-journal-observe-style-not-quality,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
143,zh,https://fermatmind.com/zh/articles/big-five-decision-journal-observe-style-not-quality,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
78,zh,https://fermatmind.com/zh/articles/big-five-emotional-stability-stress-recovery-communication,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
78,zh,https://fermatmind.com/zh/articles/big-five-emotional-stability-stress-recovery-communication,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,先完成大五人格测试，再对照压力触发和恢复清单,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
78,zh,https://fermatmind.com/zh/articles/big-five-emotional-stability-stress-recovery-communication,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
144,zh,https://fermatmind.com/zh/articles/big-five-evidence-strength-from-one-study-to-review,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
144,zh,https://fermatmind.com/zh/articles/big-five-evidence-strength-from-one-study-to-review,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
144,zh,https://fermatmind.com/zh/articles/big-five-evidence-strength-from-one-study-to-review,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
145,zh,https://fermatmind.com/zh/articles/big-five-feedback-preferences-as-hypotheses,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
145,zh,https://fermatmind.com/zh/articles/big-five-feedback-preferences-as-hypotheses,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
145,zh,https://fermatmind.com/zh/articles/big-five-feedback-preferences-as-hypotheses,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
146,zh,https://fermatmind.com/zh/articles/big-five-friendship-differences-without-compatibility-scores,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
