preview_index,slug,seed_ordinal,title_en,title_zh,soc_code,onet_code,score_1_to_10,confidence,exposure_type,micro_family,selection_roles,selection_reason,expected_locales,expected_endpoint_count
124,military-careers,648,"Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members, All Other",军事战术与空中/武器专业人员,55-3019,55-3019.00,3,high,augmentation,military tactical air weapons operations,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
125,nurse-anesthetists,689,Nurse Anesthetists,麻醉护士,29-1151,29-1151.00,6,high,augmentation,advanced nursing and perinatal care,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
126,pharmacists,751,Pharmacists,药剂师,29-1051,29-1051.00,7,high,mixed,pharmacy medication safety and dispensing,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
127,physicians-and-surgeons,765,"Physicians, All Other",其他医师,29-1229,29-1229.00,6,medium,augmentation,physician assistant general clinical care,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
128,plumbers-pipefitters-and-steamfitters,774,"Plumbers, Pipefitters, And Steamfitters",管道工、配管工与蒸汽管安装工,47-2152,47-2152.00,4,medium,augmentation,heavy construction pipe and surface trades,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
129,poets-lyricists-and-creative-writers,776,"Poets, Lyricists And Creative Writers",诗人、作词人与创意写作者,27-3043,27-3043.05,8,medium,mixed,creative writing and lyric work,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
130,police-and-sheriff-s-patrol-officers,778,Police And Sheriff's Patrol Officers,警察与治安巡逻警官,33-3051,33-3051.00,5,medium,augmentation,law enforcement patrol records and identification,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
131,school-and-career-counselors,883,School And Career Counselors And Advisors,学校与职业咨询顾问,21-1012,21-1012.00,5,medium,augmentation,school counseling psychology teaching and student safety,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
132,special-education-teachers-elementary-school,931,"Special Education Teachers, Elementary School",小学特殊教育教师,25-2056,25-2056.00,5,medium,augmentation,special education student support and learning access,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
133,multimedia-artists-and-animators,936,Special Effects Artists And Animators,特效艺术家与动画师,27-1014,27-1014.00,7,medium,mixed,set exhibit animation and sound production,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
134,transportation-inspectors,1001,Transportation Inspectors,运输检查员,53-6051,53-6051.00,5,medium,augmentation,"transportation inspection, security screening, and vehicle-system verification",batch_021_tail,representative batch 021 tail sample,"zh-CN,en",2
135,transportation-planners,1002,Transportation Planners,运输规划师,19-3099,19-3099.01,7,medium,mixed,"transportation planning, storage, and distribution networks",batch_021_tail,representative batch 021 tail sample,"zh-CN,en",2
136,transportation-security-screeners,1003,Transportation Security Screeners,运输安全检查员,33-9093,33-9093.00,5,high,augmentation,"transportation inspection, security screening, and vehicle-system verification",batch_021_tail,representative batch 021 tail sample,"zh-CN,en",2
137,transportation-vehicle-equipment-and-systems-inspectors-except-aviation,1004,"Transportation Vehicle, Equipment And Systems Inspectors, Except Aviation",运输车辆、设备与系统检查员（不含航空）,53-6051,53-6051.07,5,medium,augmentation,"transportation inspection, security screening, and vehicle-system verification",batch_021_tail,representative batch 021 tail sample,"zh-CN,en",2
138,transportation-storage-and-distribution-managers,1005,"Transportation, Storage, And Distribution Managers",运输、仓储与配送经理,11-3071,11-3071.00,7,medium,mixed,"transportation planning, storage, and distribution networks",batch_021_tail,representative batch 021 tail sample,"zh-CN,en",2
139,travel-agents,1006,Travel Agents,旅行顾问,41-3041,41-3041.00,6,medium,augmentation,"travel advisory, guiding, and guest experience",batch_021_tail,representative batch 021 tail sample,"zh-CN,en",2
140,travel-guides,1007,Travel Guides,旅行导游,39-7012,39-7012.00,6,medium,augmentation,"travel advisory, guiding, and guest experience",batch_021_tail,representative batch 021 tail sample,"zh-CN,en",2
141,treasurers-and-controllers,1008,Treasurers And Controllers,司库与财务控制员,11-3031,11-3031.01,8,high,mixed,"treasury, controllership, and financial governance",batch_021_tail,representative batch 021 tail sample,"zh-CN,en",2
142,tree-trimmers-and-pruners,1009,Tree Trimmers And Pruners,树木修剪工,37-3013,37-3013.00,4,medium,augmentation,"field craft repair, trimming, and retrofit work",batch_021_tail,representative batch 021 tail sample,"zh-CN,en",2
143,tutors,1010,Tutors,家教与辅导教师,25-3041,25-3041.00,5,medium,augmentation,"tutoring, teaching support, and learning assessment",batch_021_tail,representative batch 021 tail sample,"zh-CN,en",2
144,umpires-referees-and-other-sports-officials,1011,"Umpires, Referees, And Other Sports Officials",裁判、仲裁员与其他体育官员,27-2023,27-2023.00,4,medium,augmentation,"sports officiating, venue access, and hospitality service",batch_021_tail,representative batch 021 tail sample,"zh-CN,en",2
145,upholsterers,1012,Upholsterers,家具软包工,51-6093,51-6093.00,4,medium,augmentation,"field craft repair, trimming, and retrofit work",batch_021_tail,representative batch 021 tail sample,"zh-CN,en",2
146,web-developers,1030,Web Developers,网页开发人员,15-1254,15-1254.00,8,high,mixed,"game, web, digital interface, and document production",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
147,wind-turbine-technicians,1041,Wind Turbine Technicians,风力涡轮机技术员,49-9081,49-9081.00,6,high,augmentation,"wellhead, wind-energy development, and renewable operations",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
148,woodworking-machine-setters-operators-and-tenders-except-sawing,1043,"Woodworking Machine Setters, Operators, And Tenders, Except Sawing",木工机械设置、操作与看护员（不含锯切）,51-7042,51-7042.00,4,medium,augmentation,"weighing, sampling, welding, and woodworking production",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
149,writers-and-authors,1045,Writers And Authors,作家与作者,27-3043,27-3043.00,7,high,mixed,"writing, authorship, and biological-science interpretation",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
150,zoologists-and-wildlife-biologists,1046,Zoologists And Wildlife Biologists,动物学家与野生生物学家,19-1023,19-1023.00,7,medium,mixed,"writing, authorship, and biological-science interpretation",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
