priority,url_path,locale,page_type,type_code,variant,current_title,current_description,current_h1,current_h2_count,current_issues,gsc_impressions_24h_screenshot,gsc_clicks_24h_screenshot,recommended_target_depth,required_sections,must_link_to,do_not_write,method_boundary_required
P2,/en/personality/esfj-t,en,variant,ESFJ,T,"ESFJ-T Consul Personality: Traits, Careers & Relationships | FermatMind","Explore the ESFJ-T Consul personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ESFJ-T Consul Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/esfj-a-vs-esfj-t,en,comparison,ESFJ,A_vs_T,"ESFJ-A vs ESFJ-T: Traits, Careers, Love & Rarity | FermatMind","Compare ESFJ-A and ESFJ-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","ESFJ-A vs ESFJ-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/istp-a,en,variant,ISTP,A,"ISTP-A Virtuoso Personality: Traits, Careers & Relationships | FermatMind","Explore the ISTP-A Virtuoso personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ISTP-A Virtuoso Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/istp-t,en,variant,ISTP,T,"ISTP-T Virtuoso Personality: Traits, Careers & Relationships | FermatMind","Explore the ISTP-T Virtuoso personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ISTP-T Virtuoso Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/istp-a-vs-istp-t,en,comparison,ISTP,A_vs_T,"ISTP-A vs ISTP-T: Traits, Careers, Love & Rarity | FermatMind","Compare ISTP-A and ISTP-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","ISTP-A vs ISTP-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/isfp-a,en,variant,ISFP,A,"ISFP-A Adventurer Personality: Traits, Careers & Relationships | FermatMind","Explore the ISFP-A Adventurer personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ISFP-A Adventurer Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/isfp-t,en,variant,ISFP,T,"ISFP-T Adventurer Personality: Traits, Careers & Relationships | FermatMind","Explore the ISFP-T Adventurer personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ISFP-T Adventurer Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/isfp-a-vs-isfp-t,en,comparison,ISFP,A_vs_T,"ISFP-A vs ISFP-T: Traits, Careers, Love & Rarity | FermatMind","Compare ISFP-A and ISFP-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","ISFP-A vs ISFP-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/estp-a,en,variant,ESTP,A,"ESTP-A Entrepreneur Personality: Traits, Careers & Relationships | FermatMind","Explore the ESTP-A Entrepreneur personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ESTP-A Entrepreneur Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/estp-t,en,variant,ESTP,T,"ESTP-T Entrepreneur Personality: Traits, Careers & Relationships | FermatMind","Explore the ESTP-T Entrepreneur personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ESTP-T Entrepreneur Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/estp-a-vs-estp-t,en,comparison,ESTP,A_vs_T,"ESTP-A vs ESTP-T: Traits, Careers, Love & Rarity | FermatMind","Compare ESTP-A and ESTP-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","ESTP-A vs ESTP-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/esfp-a,en,variant,ESFP,A,"ESFP-A Entertainer Personality: Traits, Careers & Relationships | FermatMind","Explore the ESFP-A Entertainer personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ESFP-A Entertainer Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/esfp-t,en,variant,ESFP,T,"ESFP-T Entertainer Personality: Traits, Careers & Relationships | FermatMind","Explore the ESFP-T Entertainer personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ESFP-T Entertainer Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/esfp-a-vs-esfp-t,en,comparison,ESFP,A_vs_T,"ESFP-A vs ESFP-T: Traits, Careers, Love & Rarity | FermatMind","Compare ESFP-A and ESFP-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","ESFP-A vs ESFP-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/intj-a,zh-CN,variant,INTJ,A,INTJ-A 建筑师人格：特点、爱情、职业与适合工作 | FermatMind,了解 INTJ-A 建筑师人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,INTJ-A 建筑师人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/intj-t,zh-CN,variant,INTJ,T,INTJ-T 建筑师人格：特点、爱情、职业与适合工作 | FermatMind,了解 INTJ-T 建筑师人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,INTJ-T 建筑师人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/intj-a-vs-intj-t,zh-CN,comparison,INTJ,A_vs_T,INTJ-A 和 INTJ-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 INTJ-A 与 INTJ-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,INTJ-A 和 INTJ-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/intp-a,zh-CN,variant,INTP,A,INTP-A 逻辑学家人格：特点、爱情、职业与适合工作 | FermatMind,了解 INTP-A 逻辑学家人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,INTP-A 逻辑学家人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/intp-t,zh-CN,variant,INTP,T,INTP-T 逻辑学家人格：特点、爱情、职业与适合工作 | FermatMind,了解 INTP-T 逻辑学家人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,INTP-T 逻辑学家人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/intp-a-vs-intp-t,zh-CN,comparison,INTP,A_vs_T,INTP-A 和 INTP-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 INTP-A 与 INTP-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,INTP-A 和 INTP-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/entj-a,zh-CN,variant,ENTJ,A,ENTJ-A 指挥官人格：特点、爱情、职业与适合工作 | FermatMind,了解 ENTJ-A 指挥官人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ENTJ-A 指挥官人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/entj-t,zh-CN,variant,ENTJ,T,ENTJ-T 指挥官人格：特点、爱情、职业与适合工作 | FermatMind,了解 ENTJ-T 指挥官人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ENTJ-T 指挥官人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/entj-a-vs-entj-t,zh-CN,comparison,ENTJ,A_vs_T,ENTJ-A 和 ENTJ-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 ENTJ-A 与 ENTJ-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,ENTJ-A 和 ENTJ-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/entp-a,zh-CN,variant,ENTP,A,ENTP-A 辩论家人格：特点、爱情、职业与适合工作 | FermatMind,了解 ENTP-A 辩论家人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ENTP-A 辩论家人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/entp-t,zh-CN,variant,ENTP,T,ENTP-T 辩论家人格：特点、爱情、职业与适合工作 | FermatMind,了解 ENTP-T 辩论家人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ENTP-T 辩论家人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/entp-a-vs-entp-t,zh-CN,comparison,ENTP,A_vs_T,ENTP-A 和 ENTP-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 ENTP-A 与 ENTP-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,ENTP-A 和 ENTP-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/infj-a,zh-CN,variant,INFJ,A,INFJ-A 提倡者人格：特点、爱情、职业与适合工作 | FermatMind,了解 INFJ-A 提倡者人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,INFJ-A 提倡者人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/infj-t,zh-CN,variant,INFJ,T,INFJ-T 提倡者人格：特点、爱情、职业与适合工作 | FermatMind,了解 INFJ-T 提倡者人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,INFJ-T 提倡者人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/infj-a-vs-infj-t,zh-CN,comparison,INFJ,A_vs_T,INFJ-A 和 INFJ-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 INFJ-A 与 INFJ-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,INFJ-A 和 INFJ-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/infp-a,zh-CN,variant,INFP,A,INFP-A 调停者人格：特点、爱情、职业与适合工作 | FermatMind,了解 INFP-A 调停者人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,INFP-A 调停者人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P0,/zh/personality/infp-t,zh-CN,variant,INFP,T,INFP-T 调停者人格：特点、爱情、职业与适合工作 | FermatMind,了解 INFP-T 调停者人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,INFP-T 调停者人格,0,thin_h2_structure|weak_personality_internal_links,GSC recommendation: more impressions than usual,unknown,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/infp-a-vs-infp-t,zh-CN,comparison,INFP,A_vs_T,INFP-A 和 INFP-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 INFP-A 与 INFP-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,INFP-A 和 INFP-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/enfj-a,zh-CN,variant,ENFJ,A,ENFJ-A 主人公人格：特点、爱情、职业与适合工作 | FermatMind,了解 ENFJ-A 主人公人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ENFJ-A 主人公人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
