slug,locale,primary_query_intent,secondary_query_intents,snippet_candidate,faq_candidates,internal_link_anchor_candidates,candidate_only,runtime_approved,preview_version
helpers-electricians,zh-CN,what-is,,如果你正在比较电工帮工，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注现场流程、设备安全和可验证技能。,电工帮工的日常工作重点是什么？|准备电工帮工方向时，哪些技能和项目证据最值得先看？|电工帮工在 AI 时代更需要保留哪些人的判断？,电工帮工职业概览|电工帮工技能与准备|电工帮工匹配度和相邻职业,true,false,v1
helpers-electricians,en,what-is,,"Use the Helpers Electricians career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is field workflow, equipment safety, and demonstrable skill evidence.",What does Helpers Electricians work involve?|Which skills and project evidence matter most for Helpers Electricians?|How is AI changing the judgment needed in Helpers Electricians roles?,Helpers Electricians career overview|Helpers Electricians skills and preparation|Helpers Electricians fit and adjacent careers,true,false,v1
high-school-teachers,zh-CN,what-is,,如果你正在比较高中教师（不含特殊与职业技术教育），先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注学习者差异、反馈关系和准备路径。,高中教师（不含特殊与职业技术教育）的日常工作重点是什么？|准备高中教师（不含特殊与职业技术教育）方向时，哪些技能和项目证据最值得先看？|高中教师（不含特殊与职业技术教育）在 AI 时代更需要保留哪些人的判断？,高中教师（不含特殊与职业技术教育）职业概览|高中教师（不含特殊与职业技术教育）技能与准备|高中教师（不含特殊与职业技术教育）匹配度和相邻职业,true,false,v1
high-school-teachers,en,what-is,,"Use the Secondary School Teachers, Except Special and Career/Technical Education career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is learner differences, feedback work, and preparation paths.","What does Secondary School Teachers, Except Special and Career/Technical Education work involve?|Which skills and project evidence matter most for Secondary School Teachers, Except Special and Career/Technical Education?|How is AI changing the judgment needed in Secondary School Teachers, Except Special and Career/Technical Education roles?","Secondary School Teachers, Except Special and Career/Technical Education career overview|Secondary School Teachers, Except Special and Career/Technical Education skills and preparation|Secondary School Teachers, Except Special and Career/Technical Education fit and adjacent careers",true,false,v1
human-resources-managers,zh-CN,what-is,,如果你正在比较人力资源经理，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注组织协作、资源安排和风险边界。,人力资源经理的日常工作重点是什么？|准备人力资源经理方向时，哪些技能和项目证据最值得先看？|人力资源经理在 AI 时代更需要保留哪些人的判断？,人力资源经理职业概览|人力资源经理技能与准备|人力资源经理匹配度和相邻职业,true,false,v1
human-resources-managers,en,what-is,,"Use the Human resources managers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is coordination, resource decisions, and operating risk.",What does Human resources managers work involve?|Which skills and project evidence matter most for Human resources managers?|How is AI changing the judgment needed in Human resources managers roles?,Human resources managers career overview|Human resources managers skills and preparation|Human resources managers fit and adjacent careers,true,false,v1
judges-and-hearing-officers,zh-CN,what-is,,如果你正在比较法官、裁判官与治安法官，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注事实采信、程序边界和责任归属。,法官、裁判官与治安法官的日常工作重点是什么？|准备法官、裁判官与治安法官方向时，哪些技能和项目证据最值得先看？|法官、裁判官与治安法官在 AI 时代更需要保留哪些人的判断？,法官、裁判官与治安法官职业概览|法官、裁判官与治安法官技能与准备|法官、裁判官与治安法官匹配度和相邻职业,true,false,v1
judges-and-hearing-officers,en,what-is,,"Use the Judges, Magistrate Judges, and Magistrates career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is fact review, procedural boundaries, and accountability.","What does Judges, Magistrate Judges, and Magistrates work involve?|Which skills and project evidence matter most for Judges, Magistrate Judges, and Magistrates?|How is AI changing the judgment needed in Judges, Magistrate Judges, and Magistrates roles?","Judges, Magistrate Judges, and Magistrates career overview|Judges, Magistrate Judges, and Magistrates skills and preparation|Judges, Magistrate Judges, and Magistrates fit and adjacent careers",true,false,v1
judges-magistrate-judges-and-magistrates,zh-CN,what-is,,如果你正在比较法官、地方法官法官、地方法官，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注事实采信、程序边界和责任归属。,法官、地方法官法官、地方法官的日常工作重点是什么？|准备法官、地方法官法官、地方法官方向时，哪些技能和项目证据最值得先看？|法官、地方法官法官、地方法官在 AI 时代更需要保留哪些人的判断？,法官、地方法官法官、地方法官职业概览|法官、地方法官法官、地方法官技能与准备|法官、地方法官法官、地方法官匹配度和相邻职业,true,false,v1
judges-magistrate-judges-and-magistrates,en,what-is,,"Use the Judges, Magistrate Judges, and Magistrates career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is fact review, procedural boundaries, and accountability.","What does Judges, Magistrate Judges, and Magistrates work involve?|Which skills and project evidence matter most for Judges, Magistrate Judges, and Magistrates?|How is AI changing the judgment needed in Judges, Magistrate Judges, and Magistrates roles?","Judges, Magistrate Judges, and Magistrates career overview|Judges, Magistrate Judges, and Magistrates skills and preparation|Judges, Magistrate Judges, and Magistrates fit and adjacent careers",true,false,v1
lawyers,zh-CN,what-is,,如果你正在比较律师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注事实采信、程序边界和责任归属。,律师的日常工作重点是什么？|准备律师方向时，哪些技能和项目证据最值得先看？|律师在 AI 时代更需要保留哪些人的判断？,律师职业概览|律师技能与准备|律师匹配度和相邻职业,true,false,v1
lawyers,en,what-is,,"Use the Lawyers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is fact review, procedural boundaries, and accountability.",What does Lawyers work involve?|Which skills and project evidence matter most for Lawyers?|How is AI changing the judgment needed in Lawyers roles?,Lawyers career overview|Lawyers skills and preparation|Lawyers fit and adjacent careers,true,false,v1
logistics-engineers,zh-CN,what-is,,如果你正在比较工程师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,工程师的日常工作重点是什么？|准备工程师方向时，哪些技能和项目证据最值得先看？|工程师在 AI 时代更需要保留哪些人的判断？,工程师职业概览|工程师技能与准备|工程师匹配度和相邻职业,true,false,v1
logistics-engineers,en,what-is,,"Use the Logistics Engineers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Logistics Engineers work involve?|Which skills and project evidence matter most for Logistics Engineers?|How is AI changing the judgment needed in Logistics Engineers roles?,Logistics Engineers career overview|Logistics Engineers skills and preparation|Logistics Engineers fit and adjacent careers,true,false,v1
loss-prevention-managers,zh-CN,what-is,,如果你正在比较损失预防经理，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注组织协作、资源安排和风险边界。,损失预防经理的日常工作重点是什么？|准备损失预防经理方向时，哪些技能和项目证据最值得先看？|损失预防经理在 AI 时代更需要保留哪些人的判断？,损失预防经理职业概览|损失预防经理技能与准备|损失预防经理匹配度和相邻职业,true,false,v1
loss-prevention-managers,en,what-is,,"Use the Loss Prevention Managers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is coordination, resource decisions, and operating risk.",What does Loss Prevention Managers work involve?|Which skills and project evidence matter most for Loss Prevention Managers?|How is AI changing the judgment needed in Loss Prevention Managers roles?,Loss Prevention Managers career overview|Loss Prevention Managers skills and preparation|Loss Prevention Managers fit and adjacent careers,true,false,v1
materials-engineers,zh-CN,what-is,,如果你正在比较材料工程师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,材料工程师的日常工作重点是什么？|准备材料工程师方向时，哪些技能和项目证据最值得先看？|材料工程师在 AI 时代更需要保留哪些人的判断？,材料工程师职业概览|材料工程师技能与准备|材料工程师匹配度和相邻职业,true,false,v1
materials-engineers,en,what-is,,"Use the Materials Engineers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Materials Engineers work involve?|Which skills and project evidence matter most for Materials Engineers?|How is AI changing the judgment needed in Materials Engineers roles?,Materials Engineers career overview|Materials Engineers skills and preparation|Materials Engineers fit and adjacent careers,true,false,v1
mechatronics-engineers,zh-CN,what-is,,如果你正在比较工程师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,工程师的日常工作重点是什么？|准备工程师方向时，哪些技能和项目证据最值得先看？|工程师在 AI 时代更需要保留哪些人的判断？,工程师职业概览|工程师技能与准备|工程师匹配度和相邻职业,true,false,v1
mechatronics-engineers,en,what-is,,"Use the Mechatronics Engineers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Mechatronics Engineers work involve?|Which skills and project evidence matter most for Mechatronics Engineers?|How is AI changing the judgment needed in Mechatronics Engineers roles?,Mechatronics Engineers career overview|Mechatronics Engineers skills and preparation|Mechatronics Engineers fit and adjacent careers,true,false,v1
microsystems-engineers,zh-CN,what-is,,如果你正在比较工程师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,工程师的日常工作重点是什么？|准备工程师方向时，哪些技能和项目证据最值得先看？|工程师在 AI 时代更需要保留哪些人的判断？,工程师职业概览|工程师技能与准备|工程师匹配度和相邻职业,true,false,v1
microsystems-engineers,en,what-is,,"Use the Microsystems Engineers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Microsystems Engineers work involve?|Which skills and project evidence matter most for Microsystems Engineers?|How is AI changing the judgment needed in Microsystems Engineers roles?,Microsystems Engineers career overview|Microsystems Engineers skills and preparation|Microsystems Engineers fit and adjacent careers,true,false,v1
nanosystems-engineers,zh-CN,what-is,,如果你正在比较工程师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,工程师的日常工作重点是什么？|准备工程师方向时，哪些技能和项目证据最值得先看？|工程师在 AI 时代更需要保留哪些人的判断？,工程师职业概览|工程师技能与准备|工程师匹配度和相邻职业,true,false,v1
nanosystems-engineers,en,what-is,,"Use the Nanosystems Engineers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Nanosystems Engineers work involve?|Which skills and project evidence matter most for Nanosystems Engineers?|How is AI changing the judgment needed in Nanosystems Engineers roles?,Nanosystems Engineers career overview|Nanosystems Engineers skills and preparation|Nanosystems Engineers fit and adjacent careers,true,false,v1
photonics-engineers,zh-CN,what-is,,如果你正在比较工程师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,工程师的日常工作重点是什么？|准备工程师方向时，哪些技能和项目证据最值得先看？|工程师在 AI 时代更需要保留哪些人的判断？,工程师职业概览|工程师技能与准备|工程师匹配度和相邻职业,true,false,v1
photonics-engineers,en,what-is,,"Use the Photonics Engineers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Photonics Engineers work involve?|Which skills and project evidence matter most for Photonics Engineers?|How is AI changing the judgment needed in Photonics Engineers roles?,Photonics Engineers career overview|Photonics Engineers skills and preparation|Photonics Engineers fit and adjacent careers,true,false,v1
photonics-technicians,zh-CN,what-is,,如果你正在比较光子学技术员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,光子学技术员的日常工作重点是什么？|准备光子学技术员方向时，哪些技能和项目证据最值得先看？|光子学技术员在 AI 时代更需要保留哪些人的判断？,光子学技术员职业概览|光子学技术员技能与准备|光子学技术员匹配度和相邻职业,true,false,v1
photonics-technicians,en,what-is,,"Use the Photonics Technicians career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Photonics Technicians work involve?|Which skills and project evidence matter most for Photonics Technicians?|How is AI changing the judgment needed in Photonics Technicians roles?,Photonics Technicians career overview|Photonics Technicians skills and preparation|Photonics Technicians fit and adjacent careers,true,false,v1
registered-nurses,zh-CN,AI-impact,,如果你正在比较注册护士，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注临床责任、记录判断和患者沟通边界。,注册护士的日常工作重点是什么？|准备注册护士方向时，哪些技能和项目证据最值得先看？|注册护士在 AI 时代更需要保留哪些人的判断？,注册护士职业概览|注册护士技能与准备|注册护士匹配度和相邻职业,true,false,v1
registered-nurses,en,AI-impact,,"Use the Registered nurses career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is clinical responsibility, documentation judgment, and patient-facing boundaries.",What does Registered nurses work involve?|Which skills and project evidence matter most for Registered nurses?|How is AI changing the judgment needed in Registered nurses roles?,Registered nurses career overview|Registered nurses skills and preparation|Registered nurses fit and adjacent careers,true,false,v1
transportation-engineers,zh-CN,what-is,,如果你正在比较运输工程师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,运输工程师的日常工作重点是什么？|准备运输工程师方向时，哪些技能和项目证据最值得先看？|运输工程师在 AI 时代更需要保留哪些人的判断？,运输工程师职业概览|运输工程师技能与准备|运输工程师匹配度和相邻职业,true,false,v1
transportation-engineers,en,what-is,,"Use the Transportation Engineers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Transportation Engineers work involve?|Which skills and project evidence matter most for Transportation Engineers?|How is AI changing the judgment needed in Transportation Engineers roles?,Transportation Engineers career overview|Transportation Engineers skills and preparation|Transportation Engineers fit and adjacent careers,true,false,v1
validation-engineers,zh-CN,what-is,,如果你正在比较工程师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,工程师的日常工作重点是什么？|准备工程师方向时，哪些技能和项目证据最值得先看？|工程师在 AI 时代更需要保留哪些人的判断？,工程师职业概览|工程师技能与准备|工程师匹配度和相邻职业,true,false,v1
validation-engineers,en,AI-impact,,"Use the Validation Engineers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Validation Engineers work involve?|Which skills and project evidence matter most for Validation Engineers?|How is AI changing the judgment needed in Validation Engineers roles?,Validation Engineers career overview|Validation Engineers skills and preparation|Validation Engineers fit and adjacent careers,true,false,v1
video-game-designers,zh-CN,what-is,,如果你正在比较电子游戏设计师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注作品风格、受众关系和职业路径。,电子游戏设计师的日常工作重点是什么？|准备电子游戏设计师方向时，哪些技能和项目证据最值得先看？|电子游戏设计师在 AI 时代更需要保留哪些人的判断？,电子游戏设计师职业概览|电子游戏设计师技能与准备|电子游戏设计师匹配度和相邻职业,true,false,v1
video-game-designers,en,AI-impact,,"Use the Video Game Designers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is portfolio signals, audience context, and career direction.",What does Video Game Designers work involve?|Which skills and project evidence matter most for Video Game Designers?|How is AI changing the judgment needed in Video Game Designers roles?,Video Game Designers career overview|Video Game Designers skills and preparation|Video Game Designers fit and adjacent careers,true,false,v1
water-wastewater-engineers,zh-CN,what-is,,如果你正在比较工程师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,工程师的日常工作重点是什么？|准备工程师方向时，哪些技能和项目证据最值得先看？|工程师在 AI 时代更需要保留哪些人的判断？,工程师职业概览|工程师技能与准备|工程师匹配度和相邻职业,true,false,v1
water-wastewater-engineers,en,what-is,,"Use the Water/Wastewater Engineers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Water/Wastewater Engineers work involve?|Which skills and project evidence matter most for Water/Wastewater Engineers?|How is AI changing the judgment needed in Water/Wastewater Engineers roles?,Water/Wastewater Engineers career overview|Water/Wastewater Engineers skills and preparation|Water/Wastewater Engineers fit and adjacent careers,true,false,v1
web-and-digital-interface-designers,zh-CN,what-is,,如果你正在比较网页与数字界面设计师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注作品风格、受众关系和职业路径。,网页与数字界面设计师的日常工作重点是什么？|准备网页与数字界面设计师方向时，哪些技能和项目证据最值得先看？|网页与数字界面设计师在 AI 时代更需要保留哪些人的判断？,网页与数字界面设计师职业概览|网页与数字界面设计师技能与准备|网页与数字界面设计师匹配度和相邻职业,true,false,v1
web-and-digital-interface-designers,en,AI-impact,,"Use the Web and Digital Interface Designers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is portfolio signals, audience context, and career direction.",What does Web and Digital Interface Designers work involve?|Which skills and project evidence matter most for Web and Digital Interface Designers?|How is AI changing the judgment needed in Web and Digital Interface Designers roles?,Web and Digital Interface Designers career overview|Web and Digital Interface Designers skills and preparation|Web and Digital Interface Designers fit and adjacent careers,true,false,v1
wind-energy-engineers,zh-CN,what-is,,如果你正在比较工程师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,工程师的日常工作重点是什么？|准备工程师方向时，哪些技能和项目证据最值得先看？|工程师在 AI 时代更需要保留哪些人的判断？,工程师职业概览|工程师技能与准备|工程师匹配度和相邻职业,true,false,v1
wind-energy-engineers,en,AI-impact,,"Use the Wind Energy Engineers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Wind Energy Engineers work involve?|Which skills and project evidence matter most for Wind Energy Engineers?|How is AI changing the judgment needed in Wind Energy Engineers roles?,Wind Energy Engineers career overview|Wind Energy Engineers skills and preparation|Wind Energy Engineers fit and adjacent careers,true,false,v1
writers-and-authors,zh-CN,AI-impact,,如果你正在比较作家与作者，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注作品风格、受众关系和职业路径。,作家与作者的日常工作重点是什么？|准备作家与作者方向时，哪些技能和项目证据最值得先看？|作家与作者在 AI 时代更需要保留哪些人的判断？,作家与作者职业概览|作家与作者技能与准备|作家与作者匹配度和相邻职业,true,false,v1
writers-and-authors,en,AI-impact,,"Use the Writers and Authors career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is portfolio signals, audience context, and career direction.",What does Writers and Authors work involve?|Which skills and project evidence matter most for Writers and Authors?|How is AI changing the judgment needed in Writers and Authors roles?,Writers and Authors career overview|Writers and Authors skills and preparation|Writers and Authors fit and adjacent careers,true,false,v1
zoologists-and-wildlife-biologists,zh-CN,AI-impact,,如果你正在比较动物学家与野生生物学家，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注观察记录、方法边界和长期积累。,动物学家与野生生物学家的日常工作重点是什么？|准备动物学家与野生生物学家方向时，哪些技能和项目证据最值得先看？|动物学家与野生生物学家在 AI 时代更需要保留哪些人的判断？,动物学家与野生生物学家职业概览|动物学家与野生生物学家技能与准备|动物学家与野生生物学家匹配度和相邻职业,true,false,v1
zoologists-and-wildlife-biologists,en,AI-impact,,"Use the Zoologists and Wildlife Biologists career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is observation records, method boundaries, and long-term skill building.",What does Zoologists and Wildlife Biologists work involve?|Which skills and project evidence matter most for Zoologists and Wildlife Biologists?|How is AI changing the judgment needed in Zoologists and Wildlife Biologists roles?,Zoologists and Wildlife Biologists career overview|Zoologists and Wildlife Biologists skills and preparation|Zoologists and Wildlife Biologists fit and adjacent careers,true,false,v1
